column_a,code,browser,cldr_short_name
418,U+1F477 U+1F3FE,👷🏾,construction worker: medium-dark skin tone
419,U+1F477 U+1F3FF,👷🏿,construction worker: dark skin tone
420,U+1F477 U+200D U+2642 U+FE0F,👷‍♂️,man construction worker
421,U+1F477 U+1F3FB U+200D U+2642 U+FE0F,👷🏻‍♂️,man construction worker: light skin tone
422,U+1F477 U+1F3FC U+200D U+2642 U+FE0F,👷🏼‍♂️,man construction worker: medium-light skin tone
423,U+1F477 U+1F3FD U+200D U+2642 U+FE0F,👷🏽‍♂️,man construction worker: medium skin tone
424,U+1F477 U+1F3FE U+200D U+2642 U+FE0F,👷🏾‍♂️,man construction worker: medium-dark skin tone
425,U+1F477 U+1F3FF U+200D U+2642 U+FE0F,👷🏿‍♂️,man construction worker: dark skin tone
426,U+1F477 U+200D U+2640 U+FE0F,👷‍♀️,woman construction worker
427,U+1F477 U+1F3FB U+200D U+2640 U+FE0F,👷🏻‍♀️,woman construction worker: light skin tone
428,U+1F477 U+1F3FC U+200D U+2640 U+FE0F,👷🏼‍♀️,woman construction worker: medium-light skin tone
429,U+1F477 U+1F3FD U+200D U+2640 U+FE0F,👷🏽‍♀️,woman construction worker: medium skin tone
430,U+1F477 U+1F3FE U+200D U+2640 U+FE0F,👷🏾‍♀️,woman construction worker: medium-dark skin tone
431,U+1F477 U+1F3FF U+200D U+2640 U+FE0F,👷🏿‍♀️,woman construction worker: dark skin tone
432,U+1F934,🤴,prince
433,U+1F934 U+1F3FB,🤴🏻,prince: light skin tone
434,U+1F934 U+1F3FC,🤴🏼,prince: medium-light skin tone
435,U+1F934 U+1F3FD,🤴🏽,prince: medium skin tone
436,U+1F934 U+1F3FE,🤴🏾,prince: medium-dark skin tone
437,U+1F934 U+1F3FF,🤴🏿,prince: dark skin tone
438,U+1F478,👸,princess
439,U+1F478 U+1F3FB,👸🏻,princess: light skin tone
440,U+1F478 U+1F3FC,👸🏼,princess: medium-light skin tone
441,U+1F478 U+1F3FD,👸🏽,princess: medium skin tone
442,U+1F478 U+1F3FE,👸🏾,princess: medium-dark skin tone
443,U+1F478 U+1F3FF,👸🏿,princess: dark skin tone
444,U+1F473,👳,person wearing turban
445,U+1F473 U+1F3FB,👳🏻,person wearing turban: light skin tone
446,U+1F473 U+1F3FC,👳🏼,person wearing turban: medium-light skin tone
447,U+1F473 U+1F3FD,👳🏽,person wearing turban: medium skin tone
448,U+1F473 U+1F3FE,👳🏾,person wearing turban: medium-dark skin tone
449,U+1F473 U+1F3FF,👳🏿,person wearing turban: dark skin tone
450,U+1F473 U+200D U+2642 U+FE0F,👳‍♂️,man wearing turban
451,U+1F473 U+1F3FB U+200D U+2642 U+FE0F,👳🏻‍♂️,man wearing turban: light skin tone
452,U+1F473 U+1F3FC U+200D U+2642 U+FE0F,👳🏼‍♂️,man wearing turban: medium-light skin tone
453,U+1F473 U+1F3FD U+200D U+2642 U+FE0F,👳🏽‍♂️,man wearing turban: medium skin tone
454,U+1F473 U+1F3FE U+200D U+2642 U+FE0F,👳🏾‍♂️,man wearing turban: medium-dark skin tone
455,U+1F473 U+1F3FF U+200D U+2642 U+FE0F,👳🏿‍♂️,man wearing turban: dark skin tone
456,U+1F473 U+200D U+2640 U+FE0F,👳‍♀️,woman wearing turban
457,U+1F473 U+1F3FB U+200D U+2640 U+FE0F,👳🏻‍♀️,woman wearing turban: light skin tone
458,U+1F473 U+1F3FC U+200D U+2640 U+FE0F,👳🏼‍♀️,woman wearing turban: medium-light skin tone
459,U+1F473 U+1F3FD U+200D U+2640 U+FE0F,👳🏽‍♀️,woman wearing turban: medium skin tone
460,U+1F473 U+1F3FE U+200D U+2640 U+FE0F,👳🏾‍♀️,woman wearing turban: medium-dark skin tone
461,U+1F473 U+1F3FF U+200D U+2640 U+FE0F,👳🏿‍♀️,woman wearing turban: dark skin tone
462,U+1F472,👲,man with Chinese cap
463,U+1F472 U+1F3FB,👲🏻,man with Chinese cap: light skin tone
464,U+1F472 U+1F3FC,👲🏼,man with Chinese cap: medium-light skin tone
465,U+1F472 U+1F3FD,👲🏽,man with Chinese cap: medium skin tone
